"A202100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 1/11/2024 1:34:33 PM (Eastern Standard Time)"
"WORKPLACE","Output","Workers 16 and Over",
"TAZ 00010292, District of Columbia, District of Columbia","Estimate","895"
"TAZ 00010292, District of Columbia, District of Columbia","Margin of Error","172"
"TAZ 00010293, District of Columbia, District of Columbia","Estimate","470"
"TAZ 00010293, District of Columbia, District of Columbia","Margin of Error","127"
"TAZ 00010297, District of Columbia, District of Columbia","Estimate","1,450"
"TAZ 00010297, District of Columbia, District of Columbia","Margin of Error","244"
"TAZ 00010302, District of Columbia, District of Columbia","Estimate","725"
"TAZ 00010302, District of Columbia, District of Columbia","Margin of Error","258"
"TAZ 00010308, District of Columbia, District of Columbia","Estimate","105"
"TAZ 00010308, District of Columbia, District of Columbia","Margin of Error","98"
